T_0,X_fu,T_ad_K,Rho,AR,H,O,OH,HO2,H2,H2O,H2O2,O2,CH2,CH2_,CH3,CH4,HCO,CH2O,CH3O,CO,CO2,C2H2,C2H3,C2H4,C2H5,C2H6,CH2CHO,aC3H5,C3H6,nC3H7,C2H3CHO,C4H7,C4H81,pC4H9,C5H9,C5H10,PXC5H11,C6H12,PXC6H13,C7H14,PXC7H15,C8H16,PXC8H17,C9H18,PXC9H19,C10H20,PXC10H21,NC12H26,PXC12H25,SXC12H25,S3XC12H25,C12H24,C12H25O2,C12OOH,O2C12H24OOH,OC12H23OOH,N2,Label
500,0,500,14.06368997,0,0,8.93E-41,0,0,0,0,0,0.233007501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766992499,0
500,0.01010101,500.0000023,14.21122594,0,5.21E-31,1.96E-27,6.69E-16,6.54E-14,5.21E-26,9.19E-11,5.20E-14,0.230095238,1.61E-39,1.51E-40,8.39E-26,3.27E-24,7.33E-28,6.22E-14,4.15E-34,5.80E-14,7.78E-22,6.00E-24,9.30E-30,1.16E-13,5.36E-20,9.49E-26,1.77E-19,3.82E-25,3.47E-18,8.79E-25,1.24E-27,2.73E-27,4.66E-18,4.22E-25,2.94E-30,1.35E-18,4.21E-19,1.62E-18,2.32E-19,1.92E-18,4.76E-19,4.49E-18,2.78E-19,3.09E-18,1.49E-18,2.33E-18,3.13E-20,0.012498575,4.34E-20,1.94E-19,2.63E-19,1.46E-14,4.81E-13,6.43E-16,1.05E-12,1.10E-09,0.757406186,0
500,0.02020202,500.0000051,14.36115445,0,1.33E-30,2.27E-27,7.76E-16,9.27E-14,2.55E-25,2.12E-10,1.53E-13,0.227197049,4.04E-39,3.83E-40,1.81E-25,1.37E-23,1.96E-27,1.42E-13,1.02E-33,1.33E-13,2.06E-21,1.59E-23,2.50E-29,2.66E-13,1.24E-19,3.15E-25,4.09E-19,9.97E-25,7.99E-18,2.05E-24,3.16E-27,7.30E-27,1.08E-17,9.91E-25,6.76E-30,3.13E-18,9.76E-19,3.75E-18,5.42E-19,4.37E-18,1.11E-18,1.04E-17,6.51E-19,7.14E-18,3.47E-18,5.38E-18,7.31E-20,0.024936752,1.02E-19,4.53E-19,6.17E-19,3.36E-14,1.12E-12,1.51E-15,2.46E-12,2.55E-09,0.747866196,0
500,0.03030303,500.0000082,14.51353417,0,2.28E-30,2.52E-27,8.35E-16,1.08E-13,6.49E-25,3.45E-10,2.72E-13,0.224312831,6.48E-39,6.12E-40,2.64E-25,2.98E-23,3.47E-27,2.31E-13,1.59E-33,2.15E-13,3.62E-21,2.79E-23,4.41E-29,4.31E-13,2.02E-19,6.00E-25,6.65E-19,1.74E-24,1.30E-17,3.35E-24,5.49E-27,1.29E-26,1.75E-17,1.62E-24,1.10E-29,5.09E-18,1.59E-18,6.10E-18,8.84E-19,7.11E-18,1.81E-18,1.69E-17,1.06E-18,1.16E-17,5.64E-18,8.76E-18,1.19E-19,0.037314968,1.66E-19,7.39E-19,1.01E-18,5.45E-14,1.83E-12,2.45E-15,4.00E-12,4.13E-09,0.738372196,0
500,0.04040404,500.0000112,14.66842571,0,3.31E-30,2.68E-27,8.69E-16,1.17E-13,1.25E-24,4.82E-10,3.98E-13,0.221442484,8.55E-39,8.07E-40,3.33E-25,4.99E-23,5.12E-27,3.23E-13,2.10E-33,3.01E-13,5.33E-21,4.11E-23,6.51E-29,6.03E-13,2.83E-19,9.25E-25,9.32E-19,2.56E-24,1.82E-17,4.70E-24,8.03E-27,1.90E-26,2.46E-17,2.28E-24,1.53E-29,7.13E-18,2.23E-18,8.55E-18,1.24E-18,9.97E-18,2.53E-18,2.37E-17,1.49E-18,1.63E-17,7.91E-18,1.23E-17,1.67E-19,0.049633656,2.33E-19,1.04E-18,1.41E-18,7.63E-14,2.56E-12,3.44E-15,5.59E-12,5.78E-09,0.728923854,0
500,0.050505051,500.0000143,14.8258917,0,4.39E-30,2.80E-27,8.90E-16,1.24E-13,2.08E-24,6.22E-10,5.27E-13,0.218585907,1.04E-38,9.80E-40,3.88E-25,7.27E-23,6.87E-27,4.17E-13,2.52E-33,3.89E-13,7.13E-21,5.50E-23,8.74E-29,7.80E-13,3.66E-19,1.28E-24,1.21E-18,3.41E-24,2.36E-17,6.10E-24,1.07E-26,2.55E-26,3.18E-17,2.95E-24,1.98E-29,9.22E-18,2.88E-18,1.11E-17,1.60E-18,1.29E-17,3.28E-18,3.06E-17,1.92E-18,2.11E-17,1.02E-17,1.59E-17,2.16E-19,0.061893244,3.01E-19,1.34E-18,1.83E-18,9.85E-14,3.31E-12,4.46E-15,7.22E-12,7.47E-09,0.719520841,0
500,0.060606061,500.0000172,14.98599687,0,5.50E-30,2.88E-27,9.02E-16,1.28E-13,3.14E-24,7.63E-10,6.58E-13,0.215743002,1.19E-38,1.12E-39,4.33E-25,9.76E-23,8.67E-27,5.12E-13,2.88E-33,4.78E-13,8.98E-21,6.93E-23,1.10E-28,9.57E-13,4.50E-19,1.65E-24,1.48E-18,4.29E-24,2.90E-17,7.51E-24,1.34E-26,3.21E-26,3.91E-17,3.64E-24,2.43E-29,1.13E-17,3.54E-18,1.36E-17,1.97E-18,1.59E-17,4.03E-18,3.77E-17,2.36E-18,2.59E-17,1.26E-17,1.95E-17,2.66E-19,0.074094156,3.70E-19,1.65E-18,2.25E-18,1.21E-13,4.06E-12,5.48E-15,8.86E-12,9.16E-09,0.710162832,0
500,0.070707071,500.0000201,15.14880813,0,6.62E-30,2.94E-27,9.09E-16,1.31E-13,4.43E-24,9.04E-10,7.90E-13,0.212913671,1.32E-38,1.24E-39,4.69E-25,1.24E-22,1.05E-26,6.08E-13,3.18E-33,5.67E-13,1.08E-20,8.37E-23,1.33E-28,1.14E-12,5.35E-19,2.04E-24,1.76E-18,5.18E-24,3.44E-17,8.94E-24,1.61E-26,3.88E-26,4.64E-17,4.33E-24,2.88E-29,1.35E-17,4.20E-18,1.62E-17,2.34E-18,1.88E-17,4.78E-18,4.47E-17,2.81E-18,3.08E-17,1.49E-17,2.32E-17,3.15E-19,0.086236813,4.40E-19,1.96E-18,2.67E-18,1.43E-13,4.82E-12,6.51E-15,1.05E-11,1.09E-08,0.700849504,0
500,0.080808081,500.0000229,15.31439467,0,7.75E-30,2.97E-27,9.12E-16,1.34E-13,5.96E-24,1.05E-09,9.23E-13,0.210097817,1.43E-38,1.35E-39,4.99E-25,1.51E-22,1.23E-26,7.03E-13,3.43E-33,6.56E-13,1.27E-20,9.82E-23,1.57E-28,1.31E-12,6.20E-19,2.44E-24,2.04E-18,6.08E-24,3.99E-17,1.04E-23,1.89E-26,4.56E-26,5.38E-17,5.03E-24,3.33E-29,1.56E-17,4.87E-18,1.87E-17,2.71E-18,2.18E-17,5.54E-18,5.18E-17,3.25E-18,3.57E-17,1.73E-17,2.69E-17,3.65E-19,0.098321631,5.09E-19,2.27E-18,3.09E-18,1.65E-13,5.57E-12,7.54E-15,1.21E-11,1.25E-08,0.691580539,0
500,0.090909091,500.0000256,15.48282805,0,8.88E-30,2.99E-27,9.11E-16,1.35E-13,7.73E-24,1.19E-09,1.05E-12,0.207295344,1.52E-38,1.42E-39,5.22E-25,1.79E-22,1.42E-26,7.98E-13,3.64E-33,7.45E-13,1.46E-20,1.13E-22,1.80E-28,1.49E-12,7.05E-19,2.85E-24,2.32E-18,6.98E-24,4.54E-17,1.18E-23,2.16E-26,5.24E-26,6.12E-17,5.73E-24,3.78E-29,1.77E-17,5.54E-18,2.13E-17,3.08E-18,2.48E-17,6.30E-18,5.89E-17,3.69E-18,4.05E-17,1.96E-17,3.06E-17,4.15E-19,0.110349021,5.79E-19,2.58E-18,3.51E-18,1.88E-13,6.32E-12,8.57E-15,1.38E-11,1.42E-08,0.682355619,0
